Timestamp, Water Level [m]
2022-02-15 5:00:00 p.m.,0.003
2022-02-15 5:05:00 p.m.,0.003
2022-02-15 5:10:00 p.m.,0.003
2022-02-15 5:15:00 p.m.,0.003
2022-02-15 5:20:00 p.m.,0.003
2022-02-15 5:25:00 p.m.,0.003
2022-02-15 5:30:00 p.m.,0.003
2022-02-15 5:35:00 p.m.,0.003
2022-02-15 5:40:00 p.m.,0.003
2022-02-15 5:45:00 p.m.,0.003
2022-02-15 5:50:00 p.m.,0.003
2022-02-15 5:55:00 p.m.,0.003
2022-02-15 6:00:00 p.m.,0.003
2022-02-15 6:05:00 p.m.,0.003
2022-02-15 6:10:00 p.m.,0.003
2022-02-15 6:15:00 p.m.,0.003
2022-02-15 6:20:00 p.m.,0.003
2022-02-15 6:25:00 p.m.,0.003
2022-02-15 6:30:00 p.m.,0.003
2022-02-15 6:35:00 p.m.,0.003
2022-02-15 6:40:00 p.m.,0.003
2022-02-15 6:45:00 p.m.,0.003
2022-02-15 6:50:00 p.m.,0.003
2022-02-15 6:55:00 p.m.,0.003
2022-02-15 7:00:00 p.m.,0.003
2022-02-15 7:05:00 p.m.,0.003
2022-02-15 7:10:00 p.m.,0.003
2022-02-15 7:15:00 p.m.,0.003
2022-02-15 7:20:00 p.m.,0.003
2022-02-15 7:25:00 p.m.,0.003
2022-02-15 7:30:00 p.m.,0.003
2022-02-15 7:35:00 p.m.,0.003
2022-02-15 7:40:00 p.m.,0.003
2022-02-15 7:45:00 p.m.,0.003
2022-02-15 7:50:00 p.m.,0.003
2022-02-15 7:55:00 p.m.,0.003
2022-02-15 8:00:00 p.m.,0.003
2022-02-15 8:05:00 p.m.,0.003
2022-02-15 8:10:00 p.m.,0.003
2022-02-15 8:15:00 p.m.,0.003
2022-02-15 8:20:00 p.m.,0.003
2022-02-15 8:25:00 p.m.,0.003
2022-02-15 8:30:00 p.m.,0.003
2022-02-15 8:35:00 p.m.,0.003
2022-02-15 8:40:00 p.m.,0.003
2022-02-15 8:45:00 p.m.,0.003
2022-02-15 8:50:00 p.m.,0.003
2022-02-15 8:55:00 p.m.,0.003
2022-02-15 9:00:00 p.m.,0.003
2022-02-15 9:05:00 p.m.,0.003
2022-02-15 9:10:00 p.m.,0.003
2022-02-15 9:15:00 p.m.,0.003
2022-02-15 9:20:00 p.m.,0.003
2022-02-15 9:25:00 p.m.,0.003
2022-02-15 9:30:00 p.m.,0.003
2022-02-15 9:35:00 p.m.,0.003
2022-02-15 9:40:00 p.m.,0.003
2022-02-15 9:45:00 p.m.,0.003
2022-02-15 9:50:00 p.m.,0.003
2022-02-15 9:55:00 p.m.,0.003
2022-02-15 10:00:00 p.m.,0.003
2022-02-15 10:05:00 p.m.,0.003
2022-02-15 10:10:00 p.m.,0.003
2022-02-15 10:15:00 p.m.,0.003
2022-02-15 10:20:00 p.m.,0.003
2022-02-15 10:25:00 p.m.,0.003
2022-02-15 10:30:00 p.m.,0.003
2022-02-15 10:35:00 p.m.,0.003
2022-02-15 10:40:00 p.m.,0.003
2022-02-15 10:45:00 p.m.,0.003
2022-02-15 10:50:00 p.m.,0.003
2022-02-15 10:55:00 p.m.,0.003
2022-02-15 11:00:00 p.m.,0.003
2022-02-15 11:05:00 p.m.,0.003
2022-02-15 11:10:00 p.m.,0.003
2022-02-15 11:15:00 p.m.,0.003
2022-02-15 11:20:00 p.m.,0.003
